     x       exp(x)
0.010000 0.008080 0.006183
0.004242 0.002252 0.000229
-0.001809 -0.003842 -0.005850
-0.007812 -0.009708 -0.011519
-0.013225 -0.014807 -0.016250
-0.017537 -0.018653 -0.019587
-0.020325 -0.020860 -0.021183
-0.021290 -0.021176 -0.020841
-0.020287 -0.019516 -0.018534
-0.017348 -0.015970 -0.014409
-0.012682 -0.010802 -0.008787
-0.006658 -0.004432 -0.002132
0.000219 0.002599 0.004984
0.007350 0.009673 0.011930
0.014096 0.016150 0.018069
0.019834 0.021424 0.022821
0.024011 0.024979 0.025713
0.026203 0.026441 0.026424
0.026148 0.025614 0.024824
0.023784 0.022502 0.020988
0.019256 0.017319 0.015196
0.012907 0.010471 0.007914
0.005258 0.002530 -0.000244
-0.003036 -0.005818 -0.008563
-0.011242 -0.013829 -0.016294
-0.018614 -0.020763 -0.022717
-0.024457 -0.025960 -0.027211
-0.028194 -0.028896 -0.029308
-0.029422 -0.029235 -0.028744
-0.027953 -0.026867 -0.025491
-0.023839 -0.021924 -0.019762
-0.017372 -0.014777 -0.012000
-0.009067 -0.006007 -0.002848
0.000378 0.003640 0.006906
0.010142 0.013316 0.016395
0.019348 0.022143 0.024751
0.027143 0.029294 0.031180
0.032778 0.034071 0.035041
0.035676 0.035967 0.035906
0.035490 0.034722 0.033604
0.032143 0.030353 0.028248
0.025843 0.023163 0.020230
0.017071 0.013717 0.010198
0.006548 0.002803 -0.001001
-0.004826 -0.008633 -0.012385
-0.016043 -0.019569 -0.022927
-0.026081 -0.028998 -0.031646
-0.033995 -0.036019 -0.037694
-0.039000 -0.039921 -0.040442
-0.040556 -0.040255 -0.039540
-0.038413 -0.036882 -0.034958
-0.032656 -0.029996 -0.027000
-0.023697 -0.020114 -0.016286
-0.012249 -0.008040 -0.003703
0.000724 0.005194 0.009665
0.014090 0.018426 0.022627
0.026651 0.030454 0.033996
0.037240 0.040151 0.042693
0.044840 0.046564 0.047845
0.048666 0.049013 0.048879
0.048259 0.047155 0.045573
0.043526 0.041027 0.038097
0.034764 0.031054 0.027003
0.022646 0.018026 0.013184
0.008169 0.003029 -0.002186
-0.007425 -0.012635 -0.017763
-0.022755 -0.027564 -0.032136
-0.036424 -0.040383 -0.043968
-0.047140 -0.049863 -0.052106
-0.053840 -0.055045 -0.055700
-0.055795 -0.055324 -0.054285
-0.052683 -0.050529 -0.047838
-0.044631 -0.040938 -0.036789
-0.032220 -0.027276 -0.022000
-0.016443 -0.010658 -0.004701
0.001371 0.007497 0.013617
0.019669 0.025590 0.031322
0.036804 0.041977 0.046790
0.051187 0.055121 0.058549
0.061429 0.063728 0.065418
0.066474 0.066881 0.066626
0.065707 0.064126 0.061892
0.059020 0.055534 0.051463
0.046840 0.041707 0.036111
0.030103 0.023739 0.017081
0.010191 0.003135 -0.004014
-0.011189 -0.018316 -0.025323
-0.032140 -0.038694 -0.044919
-0.050748 -0.056119 -0.060972
-0.065254 -0.068917 -0.071916
-0.074217 -0.075788 -0.076606
-0.076655 -0.075928 -0.074423
-0.072148 -0.069118 -0.065356
-0.060893 -0.055766 -0.050019
-0.043706 -0.036882 -0.029612
-0.021965 -0.014012 -0.005832
0.002496 0.010890 0.019267
0.027540 0.035628 0.043447
0.050914 0.057952 0.064486
0.070445 0.075763 0.080381
0.084245 0.087308 0.089532
0.090886 0.091348 0.090904
0.089549 0.087289 0.084135
0.080112 0.075250 0.069591
0.063183 0.056083 0.048355
0.040071 0.031309 0.022150
0.012684 0.003003 -0.006798
-0.016623 -0.026372 -0.035947
-0.045250 -0.054185 -0.062657
-0.070580 -0.077864 -0.084433
-0.090212 -0.095135 -0.099146
-0.102193 -0.104237 -0.105247
-0.105203 -0.104094 -0.101921
-0.098696 -0.094437 -0.089182
-0.082970 -0.075854 -0.067899
-0.059173 -0.049759 -0.039742
-0.029218 -0.018288 -0.007057
0.004365 0.015865 0.027328
0.038640 0.049684 0.060347
0.070518 0.080090 0.088961
0.097035 0.104221 0.110441
0.115620 0.119697 0.122619
0.124347 0.124849 0.124110
0.122123 0.118896 0.114450
0.108816 0.102039 0.094176
0.085296 0.075475 0.064806
0.053385 0.041320 0.028726
0.015724 0.002440 -0.010995
-0.024447 -0.037781 -0.050864
-0.063558 -0.075736 -0.087268
-0.098030 -0.107910 -0.116797
-0.124594 -0.131209 -0.136566
-0.140598 -0.143250 -0.144482
-0.144268 -0.142596 -0.139466
-0.134896 -0.128920 -0.121579
-0.112937 -0.103065 -0.092052
-0.079996 -0.067008 -0.053209
-0.038730 -0.023709 -0.008291
0.007372 0.023126 0.038813
0.054275 0.069354 0.083895
0.097747 0.110763 0.122804
0.133740 0.143449 0.151822
0.158761 0.164182 0.168014
0.170205 0.170715 0.169521
0.166620 0.162023 0.155759
0.147874 0.138431 0.127511
0.115206 0.101627 0.086898
0.071154 0.054545 0.037228
0.019370 0.001145 -0.017267
-0.035685 -0.053921 -0.071792
-0.089115 -0.105708 -0.121399
-0.136022 -0.149417 -0.161439
-0.171952 -0.180837 -0.187986
-0.193313 -0.196742 -0.198223
-0.197720 -0.195218 -0.190722
-0.184258 -0.175870 -0.165625
-0.153604 -0.139913 -0.124671
-0.108016 -0.090102 -0.071095
-0.051175 -0.030533 -0.009371
0.012106 0.033684 0.055148
0.076281 0.096867 0.116694
0.135555 0.153252 0.169593
0.184402 0.197515 0.208782
0.218072 0.225271 0.230287
0.233047 0.233500 0.231619
0.227400 0.220860 0.212042
0.201014 0.187862 0.172696
0.155652 0.136878 0.116549
0.094850 0.071988 0.048180
0.023656 -0.001346 -0.026578
-0.051789 -0.076727 -0.101137
-0.124769 -0.147379 -0.168727
-0.188588 -0.206747 -0.223004
-0.237177 -0.249101 -0.258636
-0.265661 -0.270080 -0.271824
-0.270846 -0.267131 -0.260687
-0.251552 -0.239791 -0.225495
-0.208783 -0.189798 -0.168708
-0.145704 -0.120997 -0.094820
-0.067419 -0.039059 -0.010014
0.019431 0.048984 0.078350
0.107230 0.135330 0.162361
0.188040 0.212094 0.234267
0.254316 0.272019 0.287174
0.299603 0.309155 0.315704
0.319153 0.319439 0.316525
0.310408 0.301119 0.288719
0.273299 0.254986 0.233935
0.210328 0.184379 0.156323
0.126421 0.094956 0.062228
0.028552 -0.005742 -0.040314
-0.074824 -0.108921 -0.142258
-0.174496 -0.205296 -0.234337
-0.261308 -0.285918 -0.307895
-0.326993 -0.342990 -0.355694
-0.364947 -0.370617 -0.372614
-0.370881 -0.365396 -0.356178
-0.343282 -0.326800 -0.306862
-0.283634 -0.257315 -0.228139
-0.196371 -0.162302 -0.126255
-0.088568 -0.049606 -0.009747
0.030618 0.071088 0.111259
0.150722 0.189075 0.225922
0.260876 0.293568 0.323646
0.350783 0.374674 0.395050
0.411668 0.424324 0.432852
0.437124 0.437054 0.432600
0.423762 0.410585 0.393157
0.371612 0.346122 0.316907
0.284221 0.248358 0.209646
0.168446 0.125146 0.080161
0.033925 -0.013110 -0.060478
-0.107707 -0.154323 -0.199849
-0.243817 -0.285772 -0.325269
-0.361889 -0.395233 -0.424935
-0.450658 -0.472106 -0.489018
-0.501180 -0.508423 -0.510621
-0.507706 -0.499653 -0.486491
-0.468303 -0.445219 -0.417424
-0.385148 -0.348671 -0.308317
-0.264452 -0.217483 -0.167849
-0.116023 -0.062502 -0.007809
0.047519 0.102934 0.157879
0.211797 0.264137 0.314356
0.361929 0.406352 0.447145
0.483864 0.516098 0.543478
0.565681 0.582430 0.593503
0.598732 0.598006 0.591271
0.578536 0.559867 0.535392
0.505300 0.469834 0.429300
0.384052 0.334497 0.281091
0.224330 0.164752 0.102927
0.039453 -0.025048 -0.089940
-0.154571 -0.218294 -0.280457
-0.340418 -0.397556 -0.451267
-0.500976 -0.546145 -0.586273
-0.620908 -0.649644 -0.672136
-0.688094 -0.697291 -0.699569
-0.694832 -0.683062 -0.664302
-0.638672 -0.606362 -0.567627
-0.522793 -0.472248 -0.416444
-0.355888 -0.291141 -0.222810
-0.151547 -0.078038 -0.002999
0.072832 0.148701 0.223846
0.297504 0.368922 0.437358
0.502095 0.562446 0.617761
0.667432 0.710905 0.747679
0.777319 0.799454 0.813787
0.820096 0.818236 0.808143
0.789837 0.763419 0.729072
0.687062 0.637733 0.581508
0.518883 0.450421 0.376753
0.298566 0.216600 0.131641
0.044512 -0.043932 -0.132819
-0.221257 -0.308353 -0.393221
-0.474983 -0.552787 -0.625814
-0.693278 -0.754449 -0.808647
-0.855258 -0.893738 -0.923618
-0.944511 -0.956117 -0.958228
-0.950724 -0.933586 -0.906890
-0.870806 -0.825604 -0.771645
-0.709385 -0.639364 -0.562210
-0.478624 -0.389382 -0.295324
-0.197347 -0.096395 0.006548
0.110467 0.214328 0.317087
0.417701 0.515137 0.608384
0.696464 0.778440 0.853427
0.920600 0.979208 1.028574
1.068110 1.097320 1.115806
1.123275 1.119541 1.104529
1.078276 1.040933 0.992762
0.934141 0.865551 0.787583
0.700924 0.606359 0.504758
0.397070 0.284317 0.167581
0.047994 -0.073269 -0.195010
-0.316008 -0.435039 -0.550891
-0.662363 -0.768294 -0.867564
-0.959107 -1.041927 -1.115104
-1.177805 -1.229296 -1.268946
-1.296239 -1.310774 -1.312280
-1.300608 -1.275746 -1.237809
-1.187047 -1.123843 -1.048705
-0.962269 -0.865289 -0.758634
-0.643279 -0.520294 -0.390839
-0.256149 -0.117524 0.023682
0.166076 0.308241 0.448746
0.586162 0.719078 0.846113
0.965933 1.077260 1.178891
1.269708 1.348689 1.414921
1.467612 1.506096 1.529842
1.538464 1.531724 1.509534
1.471962 1.419230 1.351716
1.269949 1.174607 1.066512
0.946621 0.816021 0.675914
0.527615 0.372530 0.212148
0.048032 -0.118213 -0.284934
-0.450459 -0.613119 -0.771244
-0.923202 -1.067406 -1.202326
-1.326515 -1.438617 -1.537383
-1.621689 -1.690541 -1.743092
-1.778651 -1.796690 -1.796851
-1.778954 -1.742997 -1.689160
-1.617804 -1.529470 -1.424876
-1.304908 -1.170618 -1.023210
-0.864035 -0.694572 -0.516420
-0.331283 -0.140950 0.052720
0.247814 0.442387 0.634479
0.822135 1.003426 1.176466
1.339434 1.490591 1.628301
1.751045 1.857438 1.946248
2.016405 2.067018 2.097379
2.106982 2.095520 2.062897
2.009227 1.934837 1.840266
1.726262 1.593773 1.443945
1.278109 1.097770 0.904593
0.700391 0.487106 0.266785
0.041578 -0.186306 -0.414604
-0.641022 -0.863270 -1.079072
-1.286190 -1.482462 -1.665804
-1.834240 -1.985935 -2.119192
-2.232487 -2.324484 -2.394041
-2.440238 -2.462373 -2.459984
-2.432848 -2.380990 -2.304682
-2.204447 -2.081049 -1.935498
-1.769032 -1.583114 -1.379416
-1.159806 -0.926331 -0.681195
-0.426746 -0.165445 0.100151
0.367419 0.633689 0.896277
1.152509 1.399745 1.635413
1.857028 2.062223 2.248772
2.414612 2.557870 2.676879
2.770199 2.836634 2.875247
2.885368 2.866610 2.818871
2.742336 2.637486 0.010000
0.011008 0.011836 0.012479
0.012932 0.013187 0.013240
0.013089 0.012734 0.012175
0.011416 0.010464 0.009325
0.008009 0.006528 0.004894
0.003123 0.001232 -0.000763
-0.002842 -0.004985 -0.007171
-0.009379 -0.011587 -0.013772
-0.015912 -0.017986 -0.019972
-0.021848 -0.023596 -0.025196
-0.026631 -0.027884 -0.028942
-0.029791 -0.030421 -0.030823
-0.030991 -0.030922 -0.030613
-0.030065 -0.029281 -0.028267
-0.027030 -0.025581 -0.023932
-0.022098 -0.020095 -0.017942
-0.015659 -0.013267 -0.010790
-0.008251 -0.005675 -0.003088
-0.000516 0.002016 0.004481
0.006854 0.009110 0.011226
0.013179 0.014947 0.016511
0.017853 0.018957 0.019810
0.020402 0.020722 0.020766
0.020529 0.020013 0.019218
0.018151 0.016819 0.015232
0.013405 0.011354 0.009096
0.006651 0.004044 0.001299
-0.001559 -0.004502 -0.007501
-0.010527 -0.013549 -0.016536
-0.019460 -0.022289 -0.024994
-0.027547 -0.029921 -0.032090
-0.034030 -0.035719 -0.037138
-0.038270 -0.039100 -0.039618
-0.039815 -0.039685 -0.039227
-0.038442 -0.037335 -0.035913
-0.034188 -0.032174 -0.029888
-0.027350 -0.024584 -0.021614
-0.018470 -0.015180 -0.011776
-0.008291 -0.004760 -0.001217
0.002302 0.005761 0.009126
0.012361 0.015433 0.018309
0.020958 0.023351 0.025462
0.027267 0.028744 0.029876
0.030647 0.031046 0.031066
0.030702 0.029954 0.028826
0.027325 0.025463 0.023255
0.020719 0.017877 0.014756
0.011383 0.007791 0.004012
0.000083 -0.003957 -0.008071
-0.012216 -0.016352 -0.020437
-0.024430 -0.028289 -0.031974
-0.035447 -0.038670 -0.041609
-0.044231 -0.046507 -0.048411
-0.049918 -0.051011 -0.051675
-0.051897 -0.051672 -0.050998
-0.049876 -0.048313 -0.046321
-0.043915 -0.041116 -0.037947
-0.034436 -0.030617 -0.026523
-0.022192 -0.017668 -0.012992
-0.008210 -0.003369 0.001482
0.006296 0.011023 0.015615
0.020025 0.024206 0.028114
0.031707 0.034947 0.037795
0.040221 0.042196 0.043695
0.044698 0.045191 0.045162
0.044608 0.043528 0.041929
0.039820 0.037219 0.034145
0.030626 0.026692 0.022379
0.017726 0.012776 0.007576
0.002176 -0.003371 -0.009013
-0.014692 -0.020352 -0.025937
-0.031389 -0.036652 -0.041671
-0.046394 -0.050771 -0.054752
-0.058296 -0.061361 -0.063912
-0.065918 -0.067354 -0.068200
-0.068440 -0.068067 -0.067078
-0.065477 -0.063274 -0.060485
-0.057131 -0.053242 -0.048851
-0.043996 -0.038722 -0.033078
-0.027116 -0.020894 -0.014471
-0.007909 -0.001274 0.005368
0.011952 0.018410 0.024677
0.030687 0.036377 0.041687
0.046560 0.050943 0.054786
0.058045 0.060683 0.062665
0.063966 0.064566 0.064451
0.063616 0.062062 0.059797
0.056837 0.053204 0.048928
0.044046 0.038600 0.032641
0.026222 0.019403 0.012248
0.004828 -0.002788 -0.010524
-0.018304 -0.026050 -0.033683
-0.041127 -0.048304 -0.055140
-0.061562 -0.067502 -0.072895
-0.077682 -0.081808 -0.085226
-0.087893 -0.089776 -0.090847
-0.091089 -0.090489 -0.089046
-0.086765 -0.083662 -0.079758
-0.075086 -0.069684 -0.063599
-0.056886 -0.049605 -0.041825
-0.033618 -0.025063 -0.016241
-0.007240 0.001854 0.010948
0.019952 0.028774 0.037325
0.045514 0.053257 0.060471
0.067078 0.073006 0.078188
0.082565 0.086085 0.088703
0.090385 0.091104 0.090844
0.089596 0.087364 0.084160
0.080006 0.074935 0.068989
0.062218 0.054682 0.046449
0.037595 0.028202 0.018360
0.008163 -0.002291 -0.012898
-0.023554 -0.034152 -0.044585
-0.054747 -0.064533 -0.073841
-0.082572 -0.090633 -0.097936
-0.104401 -0.109953 -0.114528
-0.118070 -0.120533 -0.121882
-0.122092 -0.121148 -0.119050
-0.115807 -0.111439 -0.105979
-0.099471 -0.091970 -0.083542
-0.074261 -0.064212 -0.053489
